,borough,block,lot,cd,bct2020,bctcb2020,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healthcenterdistrict,healtharea,sanitboro,sanitdistrict,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,firm07_flag,pfirm15_flag,version,dcpedited,latitude,longitude,notes
571,MN,283,53,103.0,1000600.0,10006001000.0,6.0,1000.0,2.0,1.0,10002.0,E015,7.0,14.0,7800.0,1.0,3.0,1B,124 EAST BROADWAY,C6-2,,,,,,,,,,N,K4,4.0,0.0,,GREAT WORLD ENTERP INC,1400.0,7000.0,1380.0,0.0,0.0,1380.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,6.0,22.08,63.42,22.0,63.0,N,3.0,N,5.0,2.0,108900.0,787950.0,0.0,1940.0,0.0,0.0,,,5.0,6.02,6.0,6.5,1,1002830053.0,,6.0,986433.0,199436.0,12d,,101N051,10107.0,,,,1,,,22v3,,40.7140822,-73.9921255,
573,MN,283,54,103.0,1000600.0,10006001000.0,6.0,1000.0,2.0,1.0,10002.0,E015,7.0,14.0,7800.0,1.0,3.0,1B,126 EAST BROADWAY,C6-2,,,,,,,,,,N,C7,4.0,0.0,,126 EAST B'WAY CORP,1586.0,7356.0,2452.0,4904.0,0.0,1226.0,0.0,0.0,0.0,1226.0,2.0,1.0,5.0,8.0,10.0,25.17,63.33,25.0,50.0,N,3.0,Y,5.0,2.0,271800.0,1235700.0,0.0,1910.0,0.0,0.0,,,4.64,6.02,6.0,6.5,1,1002830054.0,,6.0,986457.0,199438.0,12d,,101N051,10107.0,,,,1,,,22v3,,40.7140877,-73.9920389,
576,MN,283,63,103.0,1000600.0,10006001000.0,6.0,1000.0,2.0,1.0,10002.0,E015,7.0,14.0,7800.0,1.0,3.0,1B,144 EAST BROADWAY,C6-2,,,,,,,,,,N,C7,4.0,0.0,,RANGOON INC,1549.0,6260.0,1275.0,4985.0,0.0,1275.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,13.0,15.0,25.0,62.17,25.0,50.0,N,2.0,N,5.0,2.0,105750.0,610650.0,0.0,1900.0,1988.0,2004.0,,,4.04,6.02,6.0,6.5,1,1002830063.0,,6.0,986685.0,199461.0,12d,,101N051,10107.0,,,,1,,,22v3,,40.7141507,-73.9912164,
1016,MN,338,1,103.0,1002201.0,10022013001.0,22.01,3000.0,1.0,2.0,10002.0,L018,7.0,14.0,7600.0,1.0,3.0,2A,60 PITT STREET,R7-2,,,,,,,,,,N,D6,4.0,0.0,O,NYC HOUSING AUTHORITY,161437.0,478858.0,44478.0,434380.0,0.0,44478.0,0.0,0.0,0.0,0.0,2.0,3.0,20.0,711.0,713.0,802.25,201.25,232.0,48.0,N,1.0,Y,3.0,2.0,7155000.0,38842200.0,38842200.0,1962.0,0.0,0.0,,,2.97,3.44,0.0,6.5,1,1003380001.0,,2201.0,989259.0,200937.0,12c,,101N 081,10201.0,,,,1,,,22v3,,40.7182009,-73.9819303,
1027,MN,344,68,103.0,1002201.0,10022012000.0,22.01,2000.0,1.0,2.0,10002.0,L018,7.0,14.0,7600.0,1.0,3.0,2A,85 PITT STREET,R7A,,,,,,,,,,N,C7,4.0,0.0,,85 PITT STREET LLC,3029.0,12178.0,2000.0,10178.0,0.0,2000.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,21.0,24.0,50.5,60.0,51.0,42.0,N,3.0,N,5.0,2.0,292500.0,1683900.0,0.0,1920.0,0.0,0.0,,,4.02,4.0,0.0,4.0,1,1003440068.0,,2201.0,989071.0,201090.0,12c,,102 005,10201.0,,,,1,,,22v3,,40.718621,-73.9826084,
1064,MN,344,152,103.0,1002201.0,10022012001.0,22.01,2001.0,1.0,1.0,10002.0,L018,7.0,14.0,7600.0,1.0,3.0,2A,179 STANTON STREET,R7A,,,,,,,,,,N,C6,2.0,0.0,,STAN CORP,2508.0,8592.0,2947.0,5645.0,0.0,2947.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,8.0,9.0,25.08,100.0,25.0,38.0,N,2.0,N,5.0,2.0,378000.0,2122200.0,41900.0,1910.0,1985.0,0.0,,,3.43,4.0,0.0,4.0,1,1003440152.0,,2201.0,988653.0,201557.0,12c,,102 005,10201.0,,,,1,,,22v3,,40.719903,-73.984116,
1089,MN,348,20,103.0,1001402.0,10014021000.0,14.02,1000.0,1.0,1.0,10002.0,L018,7.0,14.0,7400.0,1.0,3.0,2A,161 RIVINGTON STREET,R7A,,,,C1-5,,,,,,N,C7,4.0,0.0,,RIVINGTON REALTY LLC,2499.0,8875.0,1200.0,7675.0,0.0,1200.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,16.0,18.0,25.0,100.0,25.0,76.0,E,3.0,N,5.0,2.0,153000.0,1372950.0,897149.0,1920.0,1988.0,0.0,,,3.55,4.0,0.0,4.0,1,1003480020.0,,1402.0,988302.0,201212.0,12c,,101N080,10201.0,,,,1,,,22v3,,40.7189562,-73.9853825,
1091,MN,348,23,103.0,1001402.0,10014021000.0,14.02,1000.0,1.0,1.0,10002.0,L018,7.0,14.0,7400.0,1.0,3.0,2A,89 CLINTON STREET,R7A,,,,C1-5,,,,,,N,C1,2.0,0.0,,89 CLINTON HOLDINGS LLC,2499.0,10381.0,0.0,10381.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,12.0,12.0,25.0,100.0,25.0,54.0,N,3.0,N,5.0,1.0,205650.0,1966950.0,0.0,1920.0,2008.0,2008.0,,,4.15,4.0,0.0,4.0,1,1003480023.0,,1402.0,988258.0,201134.0,12c,,101N080,10201.0,,,,1,,,22v3,,40.7187421,-73.9855413,
1113,MN,348,24,103.0,1001402.0,10014021000.0,14.02,1000.0,1.0,1.0,10002.0,L018,7.0,14.0,7400.0,1.0,3.0,2A,91 CLINTON STREET,R7A,,,,C1-5,,,,,,N,C7,4.0,0.0,,91 CLINTON STREET LLC,2499.0,9475.0,1000.0,8475.0,0.0,1000.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,18.0,20.0,25.0,100.0,25.0,87.0,N,3.0,N,5.0,2.0,90000.0,1314450.0,0.0,1920.0,0.0,0.0,,,3.79,4.0,0.0,4.0,1,1003480024.0,,1402.0,988249.0,201111.0,12c,,101N080,10201.0,,,,1,,,22v3,,40.718679,-73.9855738,
1295,MN,460,46,103.0,1003800.0,10038003000.0,38.0,3000.0,1.0,2.0,10003.0,E028,9.0,14.0,6500.0,1.0,3.0,3B,79 EAST 4 STREET,R8B,,,,,,,,,,N,J5,5.0,0.0,X,NEW YORK THEATRE ETC,4807.0,4800.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,2.0,1.0,1.0,0.0,1.0,50.0,96.17,50.0,94.0,N,2.0,N,5.0,0.0,441000.0,709650.0,709650.0,1944.0,0.0,0.0,East Village / Lower East Side Historic District,,1.0,4.0,0.0,4.0,1,1004600046.0,,38.0,987020.0,204022.0,12c,,102 009,10205.0,E-216,,,1,,,22v3,t,40.7266695,-73.9900061,
